source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
3,2,detail,Bvrad. Fresno s/Nº e/Crespín y calle pública,0100010112470003--007--,0100010112470003--007--,11,247,3,7,-58.18290728,-32.24509364,automatic,missing_address_point,Núcleo Urbano Ampliado,2020-01-07,Vivienda unifamiliar,vivienda,,1,,,61.70,,,
4,3,detail,Las Piedras N.º 390,0100011020400364--020--,0100011020400364--020--,102,40,364,20,-58.14762187,-32.23684559,automatic,verified_close,Urbanizada – Area 1,2020-01-16,Vivienda unifamiliar,vivienda,1,,,,43.60,,,
5,4,detail,Alberdi N.º,0100010123270004--003--,0100010123270004--003--,12,327,4,3,-58.16254939,-32.23088725,automatic,missing_address_point,Urbana 2,2020-01-22,Local comercial,comercial,,2,,,,,,90.46
6,5,detail,Juan Manuel de Rosas s/N° (Loteo Blanc),0100010063550008--004--,0100010063550008--004--,6,355,8,4,-58.16082882,-32.21019172,automatic,missing_address_point,Ampliación Turística Norte,2020-01-31,Vivienda unifamiliar,vivienda,1,,,,130.32,,,
7,7,detail,M. Rebord N.º 132 e/M. Moreno y Noailles,0100010000000397--010--,0100010000000397--010--,0,0,397,10,-58.15035197,-32.23239630,automatic,verified_close,Urbana 1,2020-01-31,Vivienda unifamiliar,vivienda,1,1,,,,,92.55,
8,6,detail,"Ruta Nac. Nª 14, km",0100010190010000--002--,0100010190010000--002--,19,1,0,2,-58.24421972,-32.27327744,automatic,missing_address_point,Zona de Quintas,2020-01-31,Vivienda unifamiliar + Local comercial + Galpones,vivienda,5,,,,106.05,697.24,,
10,9,detail,Esteva Berga N.º 137,0100010000000141--005--,0100010000000141--005--,0,0,141,5,-58.13748002,-32.22331982,automatic,verified_close,Centro,2020-02-12,Vivienda unifamiliar + Local comercial + Instituto de enseñanza,vivienda,3,,,,,,,
11,10,detail,"Primera Junta N.º 508, 510",0100010000000580--019--,0100010000000580--019--,0,0,580,19,-58.15184960,-32.21828728,automatic,verified_close,Urbana 1,2020-02-12,Vivienda multifamiliar,vivienda,2,,,,148.19,,,
12,11,detail,Alberdi N.º 230 y 236,0100010000000176--015--,0100010000000176--015--,0,0,176,15,-58.14101640,-32.21730425,automatic,verified_close,Residencial Norte,2020-02-27,Vivienda multifamiliar + Galpón depósito,vivienda,3,,,,220.40,235.40,,
13,12,detail,Martín Reibel N.º 621,0100010000000060--007--,0100010000000060--007--,0,0,60,7,-58.14150732,-32.22752755,automatic,verified_close,Residencial Sur,,Viviemda multifamiliar,viviemda multifamiliar,6,,,,168.74,,,
15,14,detail,Craviotto N.º 1111 e/ Las Piedras y M. Rebord,0100011020400364--005--,0100011020400364--005--,102,40,364,5,-58.14708228,-32.23653515,automatic,missing_address_point,Urbana 2,2020-03-10,Vivienda unifamiliar,vivienda,1,,,,86.37,,,
16,15,detail,Calle Colibrí s/N° e/ Ruta N° 135 y Calle Pública (Loteo BESSON),0100010112680001--013--,0100010112680001--013--,11,268,1,13,-58.17356770,-32.24139680,automatic,missing_address_point,Núcleo Urbano Amplado,2020-03-10,Vivienda multifamiliar,vivienda,5,,,,125.10,,,
18,17,detail,Araujo Penón N° 367 e/ Bvard Gaillard y Rocamora,0100011010340351--006--,0100011010340351--006--,101,34,351,6,-58.15890223,-32.22689654,automatic,review_large_gap,Urbana 2,2020-04-16,Vivienda unifamiliar,vivienda,1,,,,58.97,,,
19,18,detail,Santa Cruz N.º 375 e/ Rocamora y Bvard. Gaillard,0100011010620434--002--,0100011010620434--002--,101,62,434,2,-58.15619841,-32.22475117,automatic,review_large_gap,Urbana 2,2020-04-16,Vivienda unifamiliar + Consultorios,vivienda,,2,,,,,32.60,144.88
