source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
90,81,detail,J. J. Paso Nº 204 esq. Reibel,0100010000000217--006--,0100010000000217--006--,0,0,217,6,-58.13267605,-32.22166650,automatic,verified_close,Urbana,2025-05-29,Local comercial,comercial,1,,,,,"119,79",,
91,82,detail,Calle Pública s/Nº,0100010063550015--004--,0100010063550015--004--,6,355,15,4,-58.15913950,-32.20621830,automatic,missing_address_point,Periurbana,2025-05-29,Vivienda multifamiliar,vivienda,1,,,,"44,45",,,
92,83,detail,Avda. Urquiza Nº 230,0100010000000170--010--,0100010000000170--010--,0,0,170,10,-58.13695745,-32.22143730,automatic,verified_close,Centro,2025-05-29,Vivienda unifamiliar,vivienda,,,1,,"164,22",,,
94,85,detail,Calle Pública s/Nº,0100010162230008--029--,0100010162230008--029--,16,223,8,29,-58.18130475,-32.25668965,automatic,missing_address_point,Periurbana,2025-06-03,Vivienda unifamiliar,vivienda,1,,,,99,,,
95,86,detail,Calle Pública s/Nº,0100010101600000--020--,0100010101600000--020--,10,160,0,20,-58.20246040,-32.25102690,automatic,missing_address_point,Periurbana,2025-06-03,Vivienda multifamiliar,vivienda,3,,,,"140,15",,,
96,87,detail,Avda. Pte. Perón Nº 458,0100010000000615--006--,0100010000000615--006--,0,0,615,6,-58.14969610,-32.21792525,automatic,verified_close,Urbana,2025-06-03,Vivienda multifamiliar,vivienda,2,,,,"162,34",,,
97,88,detail,"Sarmiento Nº 71 , 73",0100010000000173--014--,0100010000000173--014--,0,0,173,14,-58.13879285,-32.21988130,automatic,verified_close,Centro,2025-06-11,Vivienda multifamiliar,vivienda,12,,,,"69,5",,,
98,89,detail,"Calle Fresno s/Nº - ""Ayres del 1872""",0100010112470005--005--,0100010112470005--005--,11,247,5,5,-58.18250105,-32.24572485,automatic,missing_address_point,Periurbana,2025-06-13,Vivienda unifamiliar,vivienda,1,,,,123,"26,24",,
99,90,detail,Avda. Paysandú Nº 274,0100010000000731--020--,0100010000000731--020--,0,0,731,20,-58.14469035,-32.21496665,automatic,verified_close,Urbana,2025-06-17,Centro Educativo / Terapéutuco,centro educativo / terapéutuco,1,,,,,"118,325",,
100,91,detail,25 de Mayo Nº 22,0100010000000130--020--,0100010000000130--020--,0,0,130,20,-58.14014725,-32.22298165,automatic,verified_close,Centro,2025-06-25,Vivienda unifamiliar + Local Comercial,vivienda,2,,,,"103,2445","48,9555",,
