source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
3,2,detail,Bvard. Gaillard N° 1139,0100011010480379--002--,0100011010480379--002--,101,48,379,2,-58.15770947,-32.22609294,automatic,verified_close,Urbana 2,2021-01-08,Vivienda multifamiliar,vivienda,,3,,,,,127.64,
4,3,detail,"25 de Mayo Nº 184, 186, 190",,,,,,,,,automatic,missing_cadastral_point,Residencial Sur,2021-01-08,Vivienda unifamiliar + Local comercial,vivienda,,3,,,,,147.22,74.84
5,4,detail,Piamonte N° 381,0100011010480379--001--,0100011010480379--001--,101,48,379,1,-58.15808523,-32.22594120,automatic,verified_nearby,Urbana 2,2021-01-11,Vivienda multifamiliar,vivienda,2,,,,134.28,,,
6,5,detail,F. Domichin s/N°,0100010123270011--011--,0100010123270011--011--,12,327,11,11,-58.16171253,-32.22756122,automatic,missing_address_point,Urbana 2,2021-01-11,Vivienda unifamiliar,vivienda,1,,,,83.25,,,
7,6,detail,Bvard. Ferrari Nº 769,0100010000000028--018--,0100010000000028--018--,0,0,28,18,-58.14192078,-32.23143297,automatic,verified_close,Urbana 1,2021-01-11,Vivienda multifamiliar,vivienda,4,,,,179.08,,,
8,7,detail,Andrade N° 261,0100010000000135--026--,0100010000000135--026--,0,0,135,26,-58.13651888,-32.22578190,automatic,verified_close,Residencial Sur,2021-01-12,Vivienda unifamiliar,vivienda,,1,,,,,45.04,
9,8,detail,"12 de Abril esq. 25 de Mayo N° 08, 14",,,,,,,,,automatic,missing_cadastral_point,Centro,2021-01-13,Hotel,turistico,,,1,,,262.77,,
10,9,detail,Avda Paysandú N° 1024,0100011010620435--001--,0100011010620435--001--,101,62,435,1,-58.15682625,-32.22406627,automatic,verified_close,Urbana 2,2021-01-14,Galpón - Local Comercial,comercial,1,,,,,325.20,,
11,10,detail,San Martín Nª 702 esq. Salta N° 46,0100010000000036--020--,0100010000000036--020--,0,0,36,20,-58.14583729,-32.22568307,automatic,verified_close,Urbana 1,2021-01-14,Vivienda y local comercial,vivienda,1,,,,,267.24,158.23,
12,11,detail,Calle Pública S/N° (Loteo Luna),0100010151110001--001--,0100010151110001--001--,15,111,1,1,-58.21047633,-32.26833352,automatic,missing_address_point,Zona de Quintas,2021-01-19,Vivienda unifamiliar,vivienda,,1,,,,,83.60,
13,12,detail,A. Peyret Nº 210,0100010000000209--003--,0100010000000209--003--,0,0,209,3,-58.13778014,-32.21569897,automatic,verified_close,Prioridad Turìstica,2021-01-22,Local comercial,comercial,1,,,,,120.27,,
14,13,detail,"Gral. Paz Nº 32 , 34 (40)",0100010000000088--002--,0100010000000088--002--,0,0,88,2,-58.14284645,-32.22373921,automatic,missing_address_point,Centro,2021-01-22,Local comercial,comercial,1,,1,,,106.12,,
15,14,detail,"San Martìn Nª 491, 493",0100010000000100--010--,0100010000000100--010--,0,0,100,10,-58.14287124,-32.22312988,automatic,verified_close,Centro,2021-01-26,Local Comercial,comercial,1,,,,,23.46,,
16,15,detail,"Sourigues N° 126, 130, 132, 136",0100010000000099--002--,0100010000000099--002--,0,0,99,2,-58.14339307,-32.22170018,automatic,verified_close,Residencial Norte,2021-01-27,Vivienda multifamiliar,vivienda,,4,,,,,377.03,
17,16,detail,Leprati s/N°,0100010063310003--007--,0100010063310003--007--,6,331,3,7,-58.17120670,-32.21059358,automatic,missing_address_point,Ampliación Actividad Turística Norte,2021-01-27,Vivienda unifamiliar,vivienda,,,1,,25.47,,30.00,
18,17,detail,Rocamora N° 722,0100010000000559--015--,0100010000000559--015--,0,0,559,15,-58.15106636,-32.22084448,automatic,verified_close,Urbana,2021-01-29,Vivienda unifamiliar,vivienda,1,,,,45.38,,,
19,18,detail,Calle Pública s/N°,0100010063550001--005--,0100010063550001--005--,6,355,1,5,-58.16101109,-32.20863932,automatic,missing_address_point,Ampliación Actividad Turística,2021-01-29,Vivienda multifamiliar,vivienda,2,,,,73.67,,,
21,20,detail,M. M. Moreno N° 1186 y F. Gomez Miranda,0100010000000341--006--,0100010000000341--006--,0,0,341,6,-58.15243065,-32.23336156,automatic,missing_address_point,Urbana 1,2021-02-05,Galpón / Depósito,galpón / depósito,,,1,,,144.80,,
22,21,detail,Alberdi N° 273,,,,,,,,,automatic,missing_cadastral_point,Residencial Norte,2021-02-09,Sede Social y Hotel,turistico,1,,,,,,,
23,22,detail,Bvard. Gaillard Nº 1181,0100011010340351--012--,0100011010340351--012--,101,34,351,12,-58.15866305,-32.22687510,automatic,verified_nearby,Urbana 2,2021-02-10,Vivienda unifamiliar,vivienda,,,1,,,,277.56,
24,23,detail,Avda Los Lapachos s/N°,0100010113100003--008--,0100010113100003--008--,11,310,3,8,-58.16792781,-32.23184555,automatic,missing_address_point,Ampliación Actividad Turística Norte,2021-02-10,Vivienda unifamiliar,vivienda,1,,,,,,225.15,
25,24,detail,Conte Grand N° 476,0100011010490381--003--,0100011010490381--003--,101,49,381,3,-58.15915048,-32.22440160,automatic,verified_close,Urbana 2,2021-02-10,Vivienda unifamiliar,vivienda,,1,,,,,88.88,
26,25,detail,Calle Pùblica s/Nº,0100010063550014--008--,0100010063550014--008--,6,355,14,8,-58.15942358,-32.20702509,automatic,missing_address_point,Ampliaciòn Actividad Turìstica Norte,2021-02-10,Vivienda multifamiliar,vivienda,10,,1,,114.67,,,
27,26,detail,Paso de los Andes N° 269,,,,,,,,,automatic,missing_cadastral_point,Urbano,2021-02-11,Vivienda unifamiliar,vivienda,,1,,,,,194.41,
28,27,detail,"Calle Hugo ""Pocho"" Lapratti s/N°",0100010063310006--004--,0100010063310006--004--,6,331,6,4,-58.17182768,-32.21101845,automatic,missing_address_point,Ampliación Actividad Turística Norte,2021-02-11,Vivienda unifamiliar,vivienda,1,,,,115.28,,,
29,28,detail,Dominchin s/N°,0100010123270010--009--,0100010123270010--009--,12,327,10,9,-58.16136955,-32.22949365,automatic,missing_address_point,Urbana 2,2021-02-11,Vivienda unifamiliar,vivienda,1,,,,95.25,,,
30,29,detail,"Bvard. Sanguinetti N° 185, 187, 189 e/ Gouchón y Chacabuco",0100010000000011--013--,0100010000000011--013--,0,0,11,13,-58.15015201,-32.22522959,automatic,verified_close,Urbana,2021-02-12,Vivienda multifamiliar + Local comercial,vivienda,,6,,,,,294.32,131.45
31,30,detail,Camino B. Horne s/Nº,0100010030500000--007--,0100010030500000--007--,3,50,0,7,-58.23520984,-32.24419165,automatic,missing_address_point,Urbana 2,2021-02-12,Vivienda unifamiliar,vivienda,,1,,,,,71.47,
32,31,detail,Maipú N° 270,0100010000000124--021--,0100010000000124--021--,0,0,124,21,-58.14374880,-32.21849468,automatic,verified_close,Residencial Norte,2021-02-12,Vivienda multifamiliar,vivienda,3,,,,275.22,,,
33,32,detail,Bvard. Ferrari Nº 715,0100010000000029--005--,0100010000000029--005--,0,0,29,5,-58.14098695,-32.23081701,automatic,verified_close,Residencial Sur,,Depòsito - Local comercial,comercial,1,,,,,78.13,,
34,33,detail,Alberdi Nº 625,0100010000000152--008--,0100010000000152--008--,0,0,152,8,-58.14192947,-32.21751722,automatic,review_large_gap,Residencial Norte,2021-02-12,Vivienda unifamiliar,vivienda,1,,,,172.92,,,
35,34,detail,Ruta Nac Nº 135,0100010090470000--001--,0100010090470000--001--,9,47,0,1,-58.23345425,-32.25681122,automatic,missing_address_point,Zona Mixta Complemento Industrial,2021-02-12,Galpòn,galpòn,,1,,,,487.40,,1165.66
36,35,detail,Tucumàn Nº,0100011020270338--017--,0100011020270338--017--,102,27,338,17,-58.15023932,-32.23553354,automatic,missing_address_point,Urbana 2,2021-02-22,Vivienda unifamiliar,vivienda,,1,,,,,79.60,
37,36,detail,Castelli N° 256 esq Tucumán N° ..,0100010000000055--018--,0100010000000055--018--,0,0,55,18,-58.14169415,-32.22935770,automatic,verified_close,Residencial Norte,2021-02-22,Vivienda multifamiliar,vivienda,2,,,,107.18,,,
38,37,detail,Calle Pùblica s/Nº,0100010112250006--004--,0100010112250006--004--,11,225,6,4,-58.18780645,-32.24653113,automatic,missing_address_point,Nùcleo Urbano Ampliado,2021-02-24,Vivienda multifamiliar,vivienda,2,,,,115.71,,,
39,38,detail,Sauce esq Agua-I,0100010063670002--009--,0100010063670002--009--,6,367,2,9,-58.15703280,-32.20541991,automatic,missing_address_point,Ampliaciòn Actividad Turìstica Norte,2021-02-25,vivienda multifamiliar,vivienda,5,,,,,,17.11,
41,40,detail,Paso de los Andes N° 824 e/Ramírez y Sanguinetti,0100010000000013--018--,0100010000000013--018--,0,0,13,18,-58.15134282,-32.22353201,automatic,verified_close,Urbana 1,2021-03-03,Vivienda multifamiliar,vivienda,,2,,,,,58.50,
42,41,detail,Los Bretes,0100010170030007--010--,0100010170030007--010--,17,3,7,10,-58.13085685,-32.24462169,automatic,missing_address_point,Ampliaciòn Actividad Turìstica Sur,2021-03-05,Vivienda unifamiliar,vivienda,,,1,,,,38.44,
43,42,detail,Calle Ibirá Pitá s/N° (Los Bretes),0100010170030008--004--,0100010170030008--004--,17,3,8,4,-58.12946833,-32.24378047,automatic,missing_address_point,Ampliación Actividad Turística Sur,2021-03-09,Vivienda unifamiliar,vivienda,,1,,,,,312.68,
